Question,OptionA,OptionB,OptionC,OptionD,Answer
Inverse agonist at benzodiazepine receptor is:,Bicuculline,Picrotoxin,Beta Carboline,Muscimol,Beta Carboline
Drug of choice for rapid cyclers in manic-depressive psychosis is:,Carbamazepine,Valproate,Lithium,Phenytoin,Valproate
Following statements regarding Exenatide are true EXCEPT,Can cause hypoglycemia,It is a GLP-1 agonist,Do not promote weight gain,Supress glucagon,Can cause hypoglycemia
"A patient presented to OPD with swelling in the neck. He complains of decreased appetite, fatigue and cold intoerance. He has gained 8 kg of weight in last 4 months. Thyroid function tests revealed normal T4 but elevated TSH. The patient should be treated with:",Liothyronine,L-thyroxine,Carbimazole,Steroids,L-thyroxine
"Drug which inhibits interaction of RANK with its ligand on
the surface of osteoclasts is:",Alendronate,Denosumab,Teriparatide,Strontium ranelate,Denosumab
Which of the following is a ‘nootropic’ drug?,Rivastigmine,Tacrine,Amantadine,Piracetam,Piracetam
GnRH analogue used in hormonal treatment of carcinoma prostate is:,Goserelin,Nilutamide,Cyproterone acetate,Finasteride,Goserelin
Hormone replacement therapy is beneficial for all of the following conditions EXCEPT:,Vaginal atrophy,Flushing,Osteoporosis,Coronary heart disease,Coronary heart disease
First generation orally administered cephalosporin is:,Cefadroxil,Cefaclor,Cefotetan,Ceftibuten,Cefadroxil
Following statement regarding aminoglycosides is TRUE,Nephrotoxicity is reversible,Streptomycin causes maximum nephrotoxicity,Active against anaerobes,Ototoxicity caused by aminoglycosides first involves apex of cochlea,Nephrotoxicity is reversible
Which of the following drugs acts by inhibiting cell wall synthesis?,Erythromycin,Cephalosporins,Chloramphenicol,Sulfonamides,Cephalosporins
Imipenem is combined with cilastatin to:,Cilastatin prevents degradation of imipenem in kidney,Cilastatin inreases intestinal absorption of imipenem,Cilastatin inhibits beta lactamase activity,Both have synergistic activity against Pseudomonas,Cilastatin prevents degradation of imipenem in kidney
Mycoplasma is resistant to:,Vancomycin,Doxycycline,Moxifloxacin,Azithromycin,Vancomycin
Directly acting cough suppressant is:,Dextromethorphan,Bromhexine,Actyl cysteine,Carbapentate,Dextromethorphan
Mechanism of actionsof montelukast is:,Competitive antagonist of leukotriene receptors,Inhibits alpha receptor,Beta receptor agonist,Non-competitive inhibitor of leukotriene synthesis,Competitive antagonist of leukotriene receptors
Oral anticoagulants are monitored by:,Bleeding time (BT),Coagulation time (CT),Prothrombin time (PT),Partial thromboplastin time (PTT),Prothrombin time (PT)
Antidote of fibrinolytic drugs is,Heparin,Protamine,Epsilon amino caproic acid,Alteplase,Epsilon amino caproic acid
True about vitamin K is:,It is required for synthesis of factor VII,Long term use of antimicrobials can cause deficiency of vitamin K,It is a water soluble vitamin,DVT is associated with vitamin K deficiency,Long term use of antimicrobials can cause deficiency of vitamin K
"A 31-year-old woman has been treated with fluoxetine for 5 months. She is diagnosed with another medical problem and receives one or more drugs that, otherwise, would be suitable and probably problem-free. She is rushed to the casualty with unstable vital signs, muscle rigidity, myoclonus, CNS irritability and altered consciousness, and shivering. What add-on drug(s) most likely caused these responses?",Codeine for cough,Loratadine for seasonal allergies,Midazolam and fentanyl are used to ease the discomfort of an endoscopy,Sumatriptan for migraine,Sumatriptan for migraine
"A 33-year-old woman patient treated with haloperidol is seen in the emergency department (ED). Her husband describes complaints of rapidly worsening fever, muscle stiffness, and tremor. Her level of consciousness is diminishing. Her temperature is 104°F, and her blood creatine kinase (CK) level is elevated. What is the most likely explanation for these findings?",Allergic response to her medication,Neuroleptic malignant syndrome (NMS),Parkinsonism,Tardive dyskinesia,Neuroleptic malignant syndrome (NMS)
